date,rate,source,fetched_at
2026-08-08,3.391,sunat,2026-08-08T01:12:56
2026-05-11,3.44826469,cdn,2026-08-08T01:12:56
2026-05-12,3.43207927,cdn,2026-08-08T01:12:56
2026-05-13,3.43047202,cdn,2026-08-08T01:12:56
2026-05-14,3.41815281,cdn,2026-08-08T01:12:56
2026-05-15,3.44703134,cdn,2026-08-08T01:12:56
2026-05-16,3.43208648,cdn,2026-08-08T01:12:57
2026-05-17,3.43402595,cdn,2026-08-08T01:12:57
2026-05-18,3.43499896,cdn,2026-08-08T01:12:57
2026-05-19,3.42222822,cdn,2026-08-08T01:12:57
2026-05-20,3.42346927,cdn,2026-08-08T01:12:57
2026-05-21,3.41258969,cdn,2026-08-08T01:12:57
2026-05-22,3.40969953,cdn,2026-08-08T01:12:57
2026-05-23,3.42096386,cdn,2026-08-08T01:12:58
2026-05-24,3.42113445,cdn,2026-08-08T01:12:58
2026-05-25,3.40300496,cdn,2026-08-08T01:12:58
2026-05-26,3.40556796,cdn,2026-08-08T01:12:58
2026-05-27,3.40650867,cdn,2026-08-08T01:12:58
2026-05-28,3.41154934,cdn,2026-08-08T01:12:58
2026-05-29,3.39846576,cdn,2026-08-08T01:12:59
2026-05-30,3.39932949,cdn,2026-08-08T01:12:59
2026-05-31,3.39929202,cdn,2026-08-08T01:12:59
2026-06-01,3.39985543,cdn,2026-08-08T01:13:00
2026-06-02,3.40462676,cdn,2026-08-08T01:13:00
2026-06-03,3.40443344,cdn,2026-08-08T01:13:00
2026-06-04,3.40457678,cdn,2026-08-08T01:13:00
2026-06-05,3.40946825,cdn,2026-08-08T01:13:00
2026-06-06,3.47121177,cdn,2026-08-08T01:13:00
2026-06-07,3.47117879,cdn,2026-08-08T01:13:01
2026-06-08,3.47139536,cdn,2026-08-08T01:13:01
2026-06-09,3.47142063,cdn,2026-08-08T01:13:01
2026-06-10,3.41424273,cdn,2026-08-08T01:13:01
2026-06-11,3.40199813,cdn,2026-08-08T01:13:01
2026-06-12,3.39736913,cdn,2026-08-08T01:13:01
2026-06-13,3.4008116,cdn,2026-08-08T01:13:02
2026-06-14,3.40079204,cdn,2026-08-08T01:13:02
2026-06-15,3.39739938,cdn,2026-08-08T01:13:02
2026-06-16,3.40650999,cdn,2026-08-08T01:13:02
2026-06-17,3.40929624,cdn,2026-08-08T01:13:02
2026-06-18,3.39764936,cdn,2026-08-08T01:13:02
2026-06-19,3.38302712,cdn,2026-08-08T01:13:03
2026-06-20,3.38284598,cdn,2026-08-08T01:13:03
2026-06-21,3.38283628,cdn,2026-08-08T01:13:03
2026-06-22,3.38378397,cdn,2026-08-08T01:13:03
2026-06-23,3.38492677,cdn,2026-08-08T01:13:03
2026-06-24,3.39171114,cdn,2026-08-08T01:13:03
2026-06-25,3.39925988,cdn,2026-08-08T01:13:04
2026-06-26,3.42208855,cdn,2026-08-08T01:13:04
2026-06-27,3.42118531,cdn,2026-08-08T01:13:04
2026-06-28,3.41820426,cdn,2026-08-08T01:13:04
2026-06-29,3.41482039,cdn,2026-08-08T01:13:04
2026-06-30,3.41135184,cdn,2026-08-08T01:13:04
2026-07-01,3.41549791,cdn,2026-08-08T01:13:05
2026-07-02,3.41797052,cdn,2026-08-08T01:13:05
2026-07-03,3.40898938,cdn,2026-08-08T01:13:05
2026-07-04,3.40163753,cdn,2026-08-08T01:13:05
2026-07-05,3.40241137,cdn,2026-08-08T01:13:05
2026-07-06,3.40528296,cdn,2026-08-08T01:13:05
2026-07-07,3.39985805,cdn,2026-08-08T01:13:06
2026-07-08,3.40605755,cdn,2026-08-08T01:13:06
2026-07-09,3.40170206,cdn,2026-08-08T01:13:06
2026-07-10,3.39740306,cdn,2026-08-08T01:13:06
2026-07-11,3.39242789,cdn,2026-08-08T01:13:07
2026-07-12,3.39746828,cdn,2026-08-08T01:13:07
2026-07-13,3.40604268,cdn,2026-08-08T01:13:07
2026-07-14,3.42389284,cdn,2026-08-08T01:13:07
2026-07-15,3.40489307,cdn,2026-08-08T01:13:07
2026-07-16,3.38839321,cdn,2026-08-08T01:13:07
2026-07-17,3.39481625,cdn,2026-08-08T01:13:08
2026-07-18,3.39053968,cdn,2026-08-08T01:13:08
2026-07-19,3.39458526,cdn,2026-08-08T01:13:08
2026-07-20,3.39212505,cdn,2026-08-08T01:13:08
2026-07-21,3.3972938,cdn,2026-08-08T01:13:08
2026-07-22,3.40217096,cdn,2026-08-08T01:13:08
2026-07-23,3.39779776,cdn,2026-08-08T01:13:09
2026-07-24,3.40208398,cdn,2026-08-08T01:13:09
2026-07-25,3.40244819,cdn,2026-08-08T01:13:09
2026-07-26,3.40254391,cdn,2026-08-08T01:13:09
2026-07-27,3.39849248,cdn,2026-08-08T01:13:09
2026-07-28,3.4041741,cdn,2026-08-08T01:13:10
2026-07-29,3.39558288,cdn,2026-08-08T01:13:10
2026-07-30,3.38739265,cdn,2026-08-08T01:13:10
2026-07-31,3.39039447,cdn,2026-08-08T01:13:10
2026-08-01,3.38954467,cdn,2026-08-08T01:13:10
2026-08-02,3.39754062,cdn,2026-08-08T01:13:10
2026-08-03,3.38349675,cdn,2026-08-08T01:13:11
2026-08-04,3.38480444,cdn,2026-08-08T01:13:11
2026-08-05,3.38500205,cdn,2026-08-08T01:13:11
2026-08-06,3.38227424,cdn,2026-08-08T01:13:12
2026-08-07,3.38708421,cdn,2026-08-08T01:13:12
2026-08-15,3.371,sunat,2026-08-15T04:48:45
2026-08-09,3.38340211,cdn,2026-08-15T04:48:45
2026-08-10,3.37798293,cdn,2026-08-15T04:48:45
2026-08-11,3.37898086,cdn,2026-08-15T04:48:46
2026-08-12,3.38205998,cdn,2026-08-15T04:48:46
2026-08-13,3.37515314,cdn,2026-08-15T04:48:46
2026-08-14,3.37924025,cdn,2026-08-15T04:48:46
2026-08-16,3.368,sunat,2026-08-16T01:44:34
2026-08-17,3.368,sunat,2026-08-17T01:42:26
2026-08-18,3.368,sunat,2026-08-18T01:37:47
2026-08-19,3.37,sunat,2026-08-19T01:39:46
2026-08-20,3.362,sunat,2026-08-20T01:38:02
2026-08-21,3.361,sunat,2026-08-21T01:43:06
2026-08-22,3.361,sunat,2026-08-22T01:36:29
2026-08-23,3.352,sunat,2026-08-23T01:46:09
2026-08-24,3.352,sunat,2026-08-24T01:43:45
2026-08-25,3.352,sunat,2026-08-25T01:38:51
2026-08-26,3.356,sunat,2026-08-26T01:44:03
